subjectID,purebred,breed,age,sex,desexed,training,condition_order,condition,trial,location,correct
messerli_md1_053,Yes,Border_Collie,9,F,No,3.5,non_first,nonostensive,2,L,0
messerli_md1_053,Yes,Border_Collie,9,F,No,3.5,non_first,nonostensive,3,R,1
messerli_md1_053,Yes,Border_Collie,9,F,No,3.5,non_first,nonostensive,4,L,0
messerli_md1_053,Yes,Border_Collie,9,F,No,3.5,non_first,nonostensive,5,L,1
messerli_md1_053,Yes,Border_Collie,9,F,No,3.5,non_first,nonostensive,6,R,0
messerli_md1_053,Yes,Border_Collie,9,F,No,3.5,non_first,nonostensive,7,L,1
messerli_md1_053,Yes,Border_Collie,9,F,No,3.5,non_first,nonostensive,8,R,1
messerli_md1_054,Yes,Border_Collie,12,F,Yes,3.25,ost_first,ostensive,1,L,0
messerli_md1_054,Yes,Border_Collie,12,F,Yes,3.25,ost_first,ostensive,2,R,1
messerli_md1_054,Yes,Border_Collie,12,F,Yes,3.25,ost_first,ostensive,3,L,1
messerli_md1_054,Yes,Border_Collie,12,F,Yes,3.25,ost_first,ostensive,4,R,0
messerli_md1_054,Yes,Border_Collie,12,F,Yes,3.25,ost_first,ostensive,5,L,1
messerli_md1_054,Yes,Border_Collie,12,F,Yes,3.25,ost_first,ostensive,6,L,1
messerli_md1_054,Yes,Border_Collie,12,F,Yes,3.25,ost_first,ostensive,7,R,0
messerli_md1_054,Yes,Border_Collie,12,F,Yes,3.25,ost_first,ostensive,8,R,1
messerli_md1_055,Yes,Samoyed,3,F,No,1.875,ost_first,ostensive,1,R,1
messerli_md1_055,Yes,Samoyed,3,F,No,1.875,ost_first,ostensive,2,L,0
messerli_md1_055,Yes,Samoyed,3,F,No,1.875,ost_first,ostensive,3,L,1
messerli_md1_055,Yes,Samoyed,3,F,No,1.875,ost_first,ostensive,4,R,1
messerli_md1_055,Yes,Samoyed,3,F,No,1.875,ost_first,ostensive,5,L,1
messerli_md1_055,Yes,Samoyed,3,F,No,1.875,ost_first,ostensive,6,R,1
messerli_md1_055,Yes,Samoyed,3,F,No,1.875,ost_first,ostensive,7,R,1
messerli_md1_055,Yes,Samoyed,3,F,No,1.875,ost_first,ostensive,8,L,1
messerli_md1_056,Yes,JP_Russell_Terrier,3,F,No,2.75,non_first,nonostensive,1,L,0
messerli_md1_056,Yes,JP_Russell_Terrier,3,F,No,2.75,non_first,nonostensive,2,R,0
messerli_md1_056,Yes,JP_Russell_Terrier,3,F,No,2.75,non_first,nonostensive,3,L,1
messerli_md1_056,Yes,JP_Russell_Terrier,3,F,No,2.75,non_first,nonostensive,4,R,1
messerli_md1_056,Yes,JP_Russell_Terrier,3,F,No,2.75,non_first,nonostensive,5,L,1
messerli_md1_056,Yes,JP_Russell_Terrier,3,F,No,2.75,non_first,nonostensive,6,L,1
messerli_md1_056,Yes,JP_Russell_Terrier,3,F,No,2.75,non_first,nonostensive,7,R,0
messerli_md1_056,Yes,JP_Russell_Terrier,3,F,No,2.75,non_first,nonostensive,8,R,0
messerli_md1_057,Yes,Rhodesian_Ridgeback,2,M,No,2.625,ost_first,ostensive,1,L,1
messerli_md1_057,Yes,Rhodesian_Ridgeback,2,M,No,2.625,ost_first,ostensive,2,R,1
messerli_md1_057,Yes,Rhodesian_Ridgeback,2,M,No,2.625,ost_first,ostensive,3,L,1
messerli_md1_057,Yes,Rhodesian_Ridgeback,2,M,No,2.625,ost_first,ostensive,4,R,1
messerli_md1_057,Yes,Rhodesian_Ridgeback,2,M,No,2.625,ost_first,ostensive,5,L,1
messerli_md1_057,Yes,Rhodesian_Ridgeback,2,M,No,2.625,ost_first,ostensive,6,L,1
messerli_md1_057,Yes,Rhodesian_Ridgeback,2,M,No,2.625,ost_first,ostensive,7,R,1
messerli_md1_057,Yes,Rhodesian_Ridgeback,2,M,No,2.625,ost_first,ostensive,8,R,1
messerli_md1_058,Yes,Labrador_Retriever,2,F,No,3.5,non_first,nonostensive,1,R,1
messerli_md1_058,Yes,Labrador_Retriever,2,F,No,3.5,non_first,nonostensive,2,L,0
messerli_md1_058,Yes,Labrador_Retriever,2,F,No,3.5,non_first,nonostensive,3,R,1
messerli_md1_058,Yes,Labrador_Retriever,2,F,No,3.5,non_first,nonostensive,4,L,0
messerli_md1_058,Yes,Labrador_Retriever,2,F,No,3.5,non_first,nonostensive,5,L,0
messerli_md1_058,Yes,Labrador_Retriever,2,F,No,3.5,non_first,nonostensive,6,R,1
messerli_md1_058,Yes,Labrador_Retriever,2,F,No,3.5,non_first,nonostensive,7,L,1
messerli_md1_058,Yes,Labrador_Retriever,2,F,No,3.5,non_first,nonostensive,8,R,1
messerli_md1_061,Yes,Labrador_Retriever,2,M,Yes,2.75,ost_first,ostensive,1,R,1
messerli_md1_061,Yes,Labrador_Retriever,2,M,Yes,2.75,ost_first,ostensive,2,L,1
messerli_md1_061,Yes,Labrador_Retriever,2,M,Yes,2.75,ost_first,ostensive,3,L,1
messerli_md1_061,Yes,Labrador_Retriever,2,M,Yes,2.75,ost_first,ostensive,4,R,0
messerli_md1_061,Yes,Labrador_Retriever,2,M,Yes,2.75,ost_first,ostensive,5,L,1
messerli_md1_061,Yes,Labrador_Retriever,2,M,Yes,2.75,ost_first,ostensive,6,R,0
messerli_md1_061,Yes,Labrador_Retriever,2,M,Yes,2.75,ost_first,ostensive,7,R,1
messerli_md1_061,Yes,Labrador_Retriever,2,M,Yes,2.75,ost_first,ostensive,8,L,1
messerli_md1_062,Yes,Australian_Shepherd,2,M,No,2.75,non_first,nonostensive,1,R,1
messerli_md1_062,Yes,Australian_Shepherd,2,M,No,2.75,non_first,nonostensive,2,L,0
messerli_md1_062,Yes,Australian_Shepherd,2,M,No,2.75,non_first,nonostensive,3,R,1
messerli_md1_062,Yes,Australian_Shepherd,2,M,No,2.75,non_first,nonostensive,4,L,0
messerli_md1_062,Yes,Australian_Shepherd,2,M,No,2.75,non_first,nonostensive,5,L,1
messerli_md1_062,Yes,Australian_Shepherd,2,M,No,2.75,non_first,nonostensive,6,R,1
messerli_md1_062,Yes,Australian_Shepherd,2,M,No,2.75,non_first,nonostensive,7,L,0
messerli_md1_062,Yes,Australian_Shepherd,2,M,No,2.75,non_first,nonostensive,8,R,1
messerli_md1_063,Yes,Australian_Shepherd,4,F,Yes,2.75,non_first,nonostensive,1,L,1
messerli_md1_063,Yes,Australian_Shepherd,4,F,Yes,2.75,non_first,nonostensive,2,R,0
messerli_md1_063,Yes,Australian_Shepherd,4,F,Yes,2.75,non_first,nonostensive,3,L,1
messerli_md1_063,Yes,Australian_Shepherd,4,F,Yes,2.75,non_first,nonostensive,4,R,0
messerli_md1_063,Yes,Australian_Shepherd,4,F,Yes,2.75,non_first,nonostensive,5,L,1
messerli_md1_063,Yes,Australian_Shepherd,4,F,Yes,2.75,non_first,nonostensive,6,L,1
messerli_md1_063,Yes,Australian_Shepherd,4,F,Yes,2.75,non_first,nonostensive,7,R,0
messerli_md1_063,Yes,Australian_Shepherd,4,F,Yes,2.75,non_first,nonostensive,8,R,0
messerli_md1_064,Yes,Australian_Shepherd,3,F,No,3.1875,ost_first,ostensive,1,L,0
messerli_md1_064,Yes,Australian_Shepherd,3,F,No,3.1875,ost_first,ostensive,2,R,1
messerli_md1_064,Yes,Australian_Shepherd,3,F,No,3.1875,ost_first,ostensive,3,L,1
messerli_md1_064,Yes,Australian_Shepherd,3,F,No,3.1875,ost_first,ostensive,4,R,0
messerli_md1_064,Yes,Australian_Shepherd,3,F,No,3.1875,ost_first,ostensive,5,L,1
messerli_md1_064,Yes,Australian_Shepherd,3,F,No,3.1875,ost_first,ostensive,6,L,1
messerli_md1_064,Yes,Australian_Shepherd,3,F,No,3.1875,ost_first,ostensive,7,R,1
messerli_md1_064,Yes,Australian_Shepherd,3,F,No,3.1875,ost_first,ostensive,8,R,1
messerli_md1_065,Yes,Rhodesian_Ridgeback,5,F,No,3.125,ost_first,ostensive,1,R,1
messerli_md1_065,Yes,Rhodesian_Ridgeback,5,F,No,3.125,ost_first,ostensive,2,L,1
messerli_md1_065,Yes,Rhodesian_Ridgeback,5,F,No,3.125,ost_first,ostensive,3,L,1
messerli_md1_065,Yes,Rhodesian_Ridgeback,5,F,No,3.125,ost_first,ostensive,4,R,1
messerli_md1_065,Yes,Rhodesian_Ridgeback,5,F,No,3.125,ost_first,ostensive,5,L,0
messerli_md1_065,Yes,Rhodesian_Ridgeback,5,F,No,3.125,ost_first,ostensive,6,R,1
messerli_md1_065,Yes,Rhodesian_Ridgeback,5,F,No,3.125,ost_first,ostensive,7,R,1
messerli_md1_065,Yes,Rhodesian_Ridgeback,5,F,No,3.125,ost_first,ostensive,8,L,1
messerli_md1_066,Yes,Golden_Retriever,4,M,Yes,3.25,ost_first,ostensive,1,L,1
messerli_md1_066,Yes,Golden_Retriever,4,M,Yes,3.25,ost_first,ostensive,2,R,1
messerli_md1_066,Yes,Golden_Retriever,4,M,Yes,3.25,ost_first,ostensive,3,L,1
messerli_md1_066,Yes,Golden_Retriever,4,M,Yes,3.25,ost_first,ostensive,4,R,0
messerli_md1_066,Yes,Golden_Retriever,4,M,Yes,3.25,ost_first,ostensive,5,L,1
messerli_md1_066,Yes,Golden_Retriever,4,M,Yes,3.25,ost_first,ostensive,6,L,1
messerli_md1_066,Yes,Golden_Retriever,4,M,Yes,3.25,ost_first,ostensive,7,R,0
messerli_md1_066,Yes,Golden_Retriever,4,M,Yes,3.25,ost_first,ostensive,8,R,0
messerli_md1_067,Yes,Samoyed,5,F,Yes,2.25,non_first,nonostensive,1,L,1
messerli_md1_067,Yes,Samoyed,5,F,Yes,2.25,non_first,nonostensive,2,R,0
messerli_md1_067,Yes,Samoyed,5,F,Yes,2.25,non_first,nonostensive,3,L,1
